#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_950	1	0	0	0	0	1	0	5	3	0	0	0	2	3	12
ASV_358	1	0	16	0	2	154	0	0	0	7	0	0	0	0	0
ASV_877	2	0	0	0	0	0	0	0	1	0	0	0	0	0	19
ASV_14	0	13157	0	728	0	0	0	0	0	825	0	0	0	18	0
ASV_148	0	1054	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_206	0	340	117	59	0	0	0	0	1	5	0	0	16	0	0
ASV_205	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_213	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_250	0	366	0	1	1	2	0	0	0	0	0	1	0	0	0
ASV_269	0	271	8	58	0	0	0	0	0	9	0	0	0	0	0
ASV_116	0	65	0	0	4	150	0	0	0	0	0	0	28	1532	0
ASV_1111	0	2	0	5	0	0	0	0	0	3	0	0	0	0	0
ASV_551	0	68	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_66	0	17	1	737	0	0	0	0	3	123	0	0	1118	1446	0
ASV_544	0	32	5	9	0	1	0	0	8	20	0	0	3	8	2
ASV_27	0	15	8499	10	0	0	0	0	226	6	1	0	0	0	0
ASV_282	0	25	6	205	0	19	0	0	0	34	0	1	0	4	0
ASV_975	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_136	0	1	11	0	14	1	0	0	1	11	0	0	0	4	0
ASV_994	0	18	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV_800	0	2	2	3	0	0	0	0	1	16	0	4	0	0	49
ASV_1096	0	1	0	0	1	12	0	0	0	0	0	0	0	7	0
ASV_453	0	3	0	0	21	7	0	0	0	0	55	39	0	0	0
ASV_287	0	12	0	0	0	0	0	0	1	0	0	274	0	0	0
ASV_325	0	10	4	16	56	119	0	0	0	12	0	1	0	1	1
ASV_17	0	1	107	1845	167	9815	0	0	19	981	2	0	0	34	10
ASV_284	0	4	3	14	23	85	0	0	3	9	0	99	11	33	0
ASV_974	0	10	0	1	0	0	0	0	2	2	0	0	0	1	0
ASV_941	0	6	0	0	0	0	0	0	0	0	0	9	1	0	0
ASV_601	0	7	0	0	0	0	0	0	0	0	0	0	0	0	70
ASV_411	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3
ASV_903	0	2	0	3	0	4	0	0	0	0	0	0	2	57	1
ASV_273	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1024	0	3	0	0	0	0	0	0	0	2	0	0	3	1	27
ASV_156	0	4	4	86	0	365	0	0	10	42	0	12	2	464	10
ASV_23	0	2	10	48	2	12	0	0	983	8528	0	0	0	2	8
ASV_515	0	1	0	0	0	0	0	32	0	1	45	21	7	1	0
ASV_655	0	1	9	2	1	0	0	0	17	9	0	0	3	0	6
ASV_958	0	2	0	0	2	2	0	16	0	0	0	0	0	0	1
ASV_479	0	1	30	4	2	6	0	0	53	11	0	0	1	0	7
ASV_376	0	1	1	0	41	5	0	0	3	0	0	0	0	16	4
ASV_1133	0	1	1	0	0	1	2	0	1	2	2	0	1	0	2
ASV_430	0	1	38	8	2	0	0	0	12	57	0	0	0	2	2
ASV_751	0	2	0	0	0	2	44	0	0	0	13	9	0	0	0
ASV_89	0	1	2	73	5	6	1	0	4	1837	0	0	32	2	7
ASV_6	0	0	28241	1	22759	23	0	0	18	0	0	62	0	3	50
ASV_15	0	0	12286	0	0	0	0	0	9918	0	0	0	0	0	2
ASV_234	0	0	2	0	0	0	0	0	37	0	0	0	0	0	368
ASV_65	0	0	2056	7	0	0	0	0	49	1015	0	0	382	0	0
ASV_437	0	0	70	40	0	0	0	0	0	5	0	0	0	2	0
ASV_82	0	0	2120	0	0	0	0	0	0	0	0	0	0	0	0
ASV_191	0	0	625	0	0	0	0	0	1	0	0	1	0	0	0
ASV_33	0	0	194	0	0	0	0	0	1	0	0	0	0	0	0
ASV_110	0	0	1149	2	3	0	0	0	1425	90	0	0	0	0	1
ASV_208	0	0	1011	0	0	0	0	0	7	2	0	0	1	0	0
ASV_438	0	0	152	1	0	0	0	0	27	0	0	0	0	0	0
ASV_507	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0
ASV_149	0	0	345	4	0	0	0	0	513	13	0	0	3	0	256
ASV_78	0	0	458	1350	0	0	0	0	13	615	0	0	0	0	0
ASV_476	0	0	80	3	0	0	0	0	0	7	0	0	0	7	0
ASV_798	0	0	4	7	0	0	0	0	12	2	0	0	0	0	11
ASV_217	0	0	335	0	0	0	0	0	122	15	0	0	0	0	0
ASV_152	0	0	995	0	0	0	0	0	0	0	0	0	0	0	0
ASV_281	0	0	76	9	0	0	0	0	0	161	0	23	2	0	0
ASV_807	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	0	0	283	0	0	0	0	0	1033	9	0	0	4	0	0
ASV_550	0	0	8	0	0	0	0	0	41	0	0	0	1	0	23
ASV_294	0	0	37	17	0	0	0	0	95	112	0	0	0	0	0
ASV_56	0	0	798	258	0	0	0	0	2005	277	2	0	363	11	712
ASV_180	0	0	252	1	0	0	0	0	319	124	0	0	0	0	0
ASV_86	0	0	161	1342	0	0	0	0	164	322	0	0	0	9	0
ASV_157	0	0	208	389	31	0	0	0	43	432	0	0	0	3	10
ASV_303	0	0	34	39	0	0	0	0	44	46	0	0	1	44	33
ASV_531	0	0	29	0	0	0	0	0	14	0	0	0	0	0	27
ASV_165	0	0	267	178	28	365	0	0	4	96	0	0	1	18	10
ASV_439	0	0	13	0	0	0	0	0	22	0	0	0	0	0	83
